metric,estimator,estimate,config,null_model_avg,seed,dataset
ccc,standard,0.240665699267475,Preprocessor1_Model1,1.82346761648195e-32,400,acetate_food_taxaHFE
mae,standard,5.86462461021652,Preprocessor1_Model1,6.83241476885985,400,acetate_food_taxaHFE
rmse,standard,7.92521158682244,Preprocessor1_Model1,8.62845099250662,400,acetate_food_taxaHFE
rsq,standard,0.249795217412491,Preprocessor1_Model1,NA,400,acetate_food_taxaHFE
ccc,standard,0.142155617610922,Preprocessor1_Model1,0,9142,acetate_food_taxaHFE
mae,standard,6.48361106430499,Preprocessor1_Model1,6.63232954744644,9142,acetate_food_taxaHFE
rmse,standard,8.20751189027893,Preprocessor1_Model1,8.46807983541703,9142,acetate_food_taxaHFE
rsq,standard,0.0837114672328025,Preprocessor1_Model1,NA,9142,acetate_food_taxaHFE
ccc,standard,0.138777643091556,Preprocessor1_Model1,3.26944777536093e-32,607,acetate_food_taxaHFE
mae,standard,6.56985399472265,Preprocessor1_Model1,6.87684727898694,607,acetate_food_taxaHFE
rmse,standard,8.57569083039853,Preprocessor1_Model1,8.73887635051595,607,acetate_food_taxaHFE
rsq,standard,0.0891807160116855,Preprocessor1_Model1,NA,607,acetate_food_taxaHFE
ccc,standard,0.155142214195215,Preprocessor1_Model1,-3.51913302641066e-33,7053,acetate_food_taxaHFE
mae,standard,5.74753530064659,Preprocessor1_Model1,6.76870145859419,7053,acetate_food_taxaHFE
rmse,standard,7.34684547915058,Preprocessor1_Model1,8.43871245771853,7053,acetate_food_taxaHFE
rsq,standard,0.0840271730321518,Preprocessor1_Model1,NA,7053,acetate_food_taxaHFE
ccc,standard,0.193783515188066,Preprocessor1_Model1,-1.66874149935504e-33,507,acetate_food_taxaHFE
mae,standard,6.05099650739313,Preprocessor1_Model1,6.85789268951786,507,acetate_food_taxaHFE
rmse,standard,7.51715173410251,Preprocessor1_Model1,8.78945985622178,507,acetate_food_taxaHFE
rsq,standard,0.150822024915337,Preprocessor1_Model1,NA,507,acetate_food_taxaHFE
ccc,standard,0.168137561408499,Preprocessor1_Model1,-8.91522225352779e-33,8636,acetate_food_taxaHFE
mae,standard,6.22286428625552,Preprocessor1_Model1,6.84099616347375,8636,acetate_food_taxaHFE
rmse,standard,7.94433106366796,Preprocessor1_Model1,8.67675746684375,8636,acetate_food_taxaHFE
rsq,standard,0.150763999152934,Preprocessor1_Model1,NA,8636,acetate_food_taxaHFE
ccc,standard,0.101773719893438,Preprocessor1_Model1,5.75157841109481e-33,7471,acetate_food_taxaHFE
mae,standard,6.70303987260341,Preprocessor1_Model1,6.78644612078007,7471,acetate_food_taxaHFE
rmse,standard,8.73048343865101,Preprocessor1_Model1,8.6583880240579,7471,acetate_food_taxaHFE
rsq,standard,0.0522136645697645,Preprocessor1_Model1,NA,7471,acetate_food_taxaHFE
ccc,standard,0.164180966157349,Preprocessor1_Model1,-8.35920247911966e-33,1525,acetate_food_taxaHFE
mae,standard,6.29502524341072,Preprocessor1_Model1,6.88417396627485,1525,acetate_food_taxaHFE
rmse,standard,8.20660364596792,Preprocessor1_Model1,8.83625503353554,1525,acetate_food_taxaHFE
rsq,standard,0.130656856738578,Preprocessor1_Model1,NA,1525,acetate_food_taxaHFE
ccc,standard,0.23868266920828,Preprocessor1_Model1,0,7268,acetate_food_taxaHFE
mae,standard,5.79975799032592,Preprocessor1_Model1,6.74983124263514,7268,acetate_food_taxaHFE
rmse,standard,7.49310509558593,Preprocessor1_Model1,8.59913965656366,7268,acetate_food_taxaHFE
rsq,standard,0.274404103768535,Preprocessor1_Model1,NA,7268,acetate_food_taxaHFE
ccc,standard,0.135461774458739,Preprocessor1_Model1,-2.97939813794091e-33,1378,acetate_food_taxaHFE
mae,standard,6.39491936044068,Preprocessor1_Model1,6.80598255357679,1378,acetate_food_taxaHFE
rmse,standard,7.84312492671339,Preprocessor1_Model1,8.63661127946369,1378,acetate_food_taxaHFE
rsq,standard,0.104857260185773,Preprocessor1_Model1,NA,1378,acetate_food_taxaHFE
ccc,standard,0.0806489353821849,Preprocessor1_Model1,-2.3395749102872e-32,400,acetate_microbe_taxaHFE
mae,standard,7.5818780596881,Preprocessor1_Model1,7.02219799013638,400,acetate_microbe_taxaHFE
rmse,standard,9.80534007125446,Preprocessor1_Model1,9.07397504171982,400,acetate_microbe_taxaHFE
rsq,standard,0.0532005133320509,Preprocessor1_Model1,NA,400,acetate_microbe_taxaHFE
ccc,standard,0.214387180189784,Preprocessor1_Model1,6.79596611668442e-33,9142,acetate_microbe_taxaHFE
mae,standard,6.04612977034717,Preprocessor1_Model1,6.87851386416433,9142,acetate_microbe_taxaHFE
rmse,standard,7.34720772962156,Preprocessor1_Model1,8.65594003932174,9142,acetate_microbe_taxaHFE
rsq,standard,0.257581199316845,Preprocessor1_Model1,NA,9142,acetate_microbe_taxaHFE
ccc,standard,0.166167582040903,Preprocessor1_Model1,5.9116935085212e-33,607,acetate_microbe_taxaHFE
mae,standard,6.5330793630881,Preprocessor1_Model1,6.88812608537687,607,acetate_microbe_taxaHFE
rmse,standard,8.50085003615348,Preprocessor1_Model1,8.83999514789674,607,acetate_microbe_taxaHFE
rsq,standard,0.175434977497317,Preprocessor1_Model1,NA,607,acetate_microbe_taxaHFE
ccc,standard,0.156913751919895,Preprocessor1_Model1,-2.42734889167631e-33,7053,acetate_microbe_taxaHFE
mae,standard,6.78450478540945,Preprocessor1_Model1,6.85793757369218,7053,acetate_microbe_taxaHFE
rmse,standard,8.30406527804988,Preprocessor1_Model1,8.79486545224776,7053,acetate_microbe_taxaHFE
rsq,standard,0.119071508078953,Preprocessor1_Model1,NA,7053,acetate_microbe_taxaHFE
ccc,standard,0.157725629936797,Preprocessor1_Model1,-4.05537302435478e-33,507,acetate_microbe_taxaHFE
mae,standard,5.87501945594087,Preprocessor1_Model1,6.91946265387267,507,acetate_microbe_taxaHFE
rmse,standard,6.91535702583533,Preprocessor1_Model1,8.81953508766019,507,acetate_microbe_taxaHFE
rsq,standard,0.0852179788520437,Preprocessor1_Model1,NA,507,acetate_microbe_taxaHFE
ccc,standard,0.139451467853586,Preprocessor1_Model1,5.94042005566957e-33,8636,acetate_microbe_taxaHFE
mae,standard,6.60412400013366,Preprocessor1_Model1,6.86506338389269,8636,acetate_microbe_taxaHFE
rmse,standard,8.49434824604689,Preprocessor1_Model1,8.73384166603429,8636,acetate_microbe_taxaHFE
rsq,standard,0.185085532306963,Preprocessor1_Model1,NA,8636,acetate_microbe_taxaHFE
ccc,standard,0.133700027439427,Preprocessor1_Model1,1.58940315490411e-32,7471,acetate_microbe_taxaHFE
mae,standard,6.32408522389155,Preprocessor1_Model1,6.70111052221133,7471,acetate_microbe_taxaHFE
rmse,standard,7.99275727174339,Preprocessor1_Model1,8.40625536891234,7471,acetate_microbe_taxaHFE
